Latitude,Longitude,Station ID
40.95028,43.78361,Amasia
41.0325,43.87,Ashocq
40.29444,44.34278,Ashtarak
40.59444,44.36389,Aparan
39.83139,44.70833,Ararat
39.72722,45.18833,Areni
40.62333,43.955,Artik
40.13722,44.0475,Armavir
39.95861,44.5375,Artashat
41.24528,44.82556,Bagratashen
40.34861,45.13,Gavar
40.76278,43.85583,Gyumri
39.51806,46.33833,Goris
40.74111,44.86556,Dilijan
40.19,44.404,Merdzavan
40.38639,43.89306,Talin
40.87167,45.14722,Ijevan
39.20417,46.46222,Kapan
40.49278,44.76111,Hrazdan
40.2075,45.76444,Masrik
40.13694,45.29694,Martuni
38.89778,46.2425,MeghrI
40.50056,45.27167,Shorja
39.83389,45.67111,Jermuk
40.56528,45.00833,Sevan
39.52028,46.02972,Sisian
41.00194,44.41278,Setapanavan
40.83889,44.43444,Vanadzor
41.11667,44.27917,Tashir
41.06028,44.61028,Odzun
40.39528,44.68278,Fantan
